room_num,ec:8c:a2:f2:7a:b8,fa:8f:ca:54:a2:6d,74:3e:2b:7d:04:d8,74:3e:2b:7d:79:b8,74:3e:2b:be:1f:e8,74:3e:2b:be:1f:e2,74:3e:2b:3d:6d:48,14:2d:27:37:99:60,74:3e:2b:be:9d:68,74:3e:2b:3e:9d:68,74:3e:2b:7e:9d:68,74:3e:2b:be:9d:62,74:3e:2b:7e:88:28,74:3e:2b:be:9c:d2,74:3e:2b:be:9c:d8,74:3e:2b:7e:9c:d8,74:3e:2b:3e:9c:d8,74:3e:2b:be:88:22,74:3e:2b:be:88:28,74:3e:2b:3e:88:28,66:eb:8c:0b:20:6e,74:3e:2b:7d:86:b8,74:3e:2b:bd:7e:18,74:3e:2b:bc:d4:22,74:3e:2b:7c:d4:28,74:3e:2b:3c:d4:28,fa:8f:ca:76:7d:4c,30:46:9a:fb:c5:a1,74:3e:2b:be:c7:18,40:a8:f0:6b:41:44,74:3e:2b:7c:d2:d8,74:3e:2b:3c:d2:d8,fa:8f:ca:52:95:af,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,ec:8c:a2:b2:7a:bc,ec:8c:a2:f2:7a:bc,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:7e:9d:6c,74:3e:2b:3e:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:bd:04:dc,74:3e:2b:3d:04:dc,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:bd:6d:4c,74:3e:2b:7e:9c:dc,de:9f:db:91:0e:dd,74:3e:2b:bd:6f:88,74:3e:2b:7d:6f:88,74:3e:2b:3d:6f:88,74:3e:2b:7e:1f:e8,74:3e:2b:3e:1f:e8,74:3e:2b:bc:d2:dc,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,74:3e:2b:7c:b6:88,74:3e:2b:3c:b6:88,74:3e:2b:bd:85:a2,74:3e:2b:bd:6d:42,74:3e:2b:bc:d2:d2,74:3e:2b:7d:04:dc,74:3e:2b:bd:86:b2,74:3e:2b:3d:86:b8,74:3e:2b:be:c7:12,74:3e:2b:7e:c7:18,74:3e:2b:3e:c7:18,74:3e:2b:fe:1f:ec,74:3e:2b:7c:fb:78,74:3e:2b:3d:85:a8,74:3e:2b:bc:fb:7c,74:3e:2b:3d:7e:18,74:3e:2b:7d:6d:48,f8:f5:32:28:2d:c0,74:3e:2b:7c:fb:7c,74:3e:2b:bd:79:b2,3c:17:10:94:eb:8e,74:3e:2b:bd:7e:12,74:3e:2b:7d:7e:18,74:3e:2b:be:a3:38,74:3e:2b:bd:6f:82,74:3e:2b:bc:b6:82,b8:ee:0e:d6:53:72,74:3e:2b:3d:79:b8,74:3e:2b:3c:fb:78,32:cd:a7:fc:3b:2b,ec:8c:a2:b2:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:bd:6e:62,74:3e:2b:7d:6e:68,74:3e:2b:3d:6e:68,2c:30:33:f8:b8:b9,74:3e:2b:bd:04:d2,74:3e:2b:3d:04:d8,74:3e:2b:7c:d2:dc,a8:9a:93:8a:84:7e,74:3e:2b:3c:d2:dc,b4:2a:0e:10:47:0a,78:29:ed:19:cb:ef,74:3e:2b:bd:6e:68,58:20:b1:3c:74:1f,b4:2a:0e:c7:0f:ae,74:3e:2b:bc:fb:72,ec:8c:a2:72:7a:b8,c8:3a:35:90:b2:11,10:86:8c:18:48:e8,78:29:ed:4c:b2:51,2c:30:33:ff:a5:f9,74:3e:2b:be:a3:32,a0:8c:fd:6c:7d:10,58:90:43:45:2b:e4,74:3e:2b:3e:a3:38,30:46:9a:fb:c5:a3,74:3e:2b:be:c7:58,e6:f5:32:28:2d:c3,74:3e:2b:bc:b6:8c
1,76,26,44,76,24,40,32,24,50,54,54,54,30,116,116,116,116,32,34,26,68,58,44,34,34,34,84,42,68,78,34,38,34,0,0,60,60,68,70,70,70,60,60,32,32,30,38,38,38,34,66,64,64,0,0,26,24,26,26,96,96,96,0,98,26,22,24,26,40,42,0,30,30,0,0,22,28,60,38,38,0,58,54,64,64,64,0,30,60,24,48,36,20,24,76,22,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,24,40,32,24,50,54,54,54,30,116,116,116,116,32,34,26,74,58,44,34,34,34,86,48,68,74,34,38,34,0,24,60,60,72,72,72,72,60,60,0,0,0,36,36,36,38,64,64,64,0,0,30,26,0,0,98,98,98,0,98,34,22,24,26,40,42,0,30,30,30,28,24,28,60,38,38,0,58,54,40,32,64,0,30,60,0,48,36,20,0,76,22,44,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,42,40,32,24,48,54,54,54,30,116,116,116,116,32,30,26,74,60,44,34,34,34,88,46,68,72,34,38,36,0,0,58,58,68,68,68,68,60,60,32,32,32,34,36,36,36,62,62,64,26,24,28,24,26,28,98,98,98,24,98,34,22,24,26,38,40,0,0,0,32,34,24,28,60,38,38,26,56,58,40,32,64,0,30,60,0,48,36,20,0,76,22,44,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,42,40,32,24,48,54,54,54,30,116,116,116,116,32,32,26,74,60,44,34,34,34,86,46,68,74,34,38,36,0,0,58,60,68,68,68,68,60,60,0,0,0,34,34,34,34,62,64,62,0,0,0,26,28,28,98,98,98,24,98,34,20,20,24,38,40,0,0,0,30,30,24,28,60,38,38,0,56,58,40,32,64,0,30,60,0,48,36,20,0,76,22,44,44,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,44,76,42,40,32,24,48,54,54,54,30,116,114,116,116,32,32,26,74,60,44,34,34,34,92,46,68,76,30,36,36,0,0,60,58,70,70,70,70,58,58,30,30,30,34,36,36,34,64,62,64,26,0,30,0,0,0,98,98,98,24,98,34,20,20,24,38,40,0,28,28,30,30,24,28,60,38,36,24,56,58,66,32,64,0,30,60,0,48,36,34,0,76,24,44,44,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,44,76,42,40,0,24,46,0,0,0,30,116,116,116,116,32,32,26,74,60,44,34,34,34,92,46,68,72,30,38,36,0,0,60,60,70,70,70,70,60,60,0,0,0,36,36,36,36,64,64,64,0,0,28,0,32,30,98,98,98,0,98,34,20,20,24,38,40,0,0,0,0,0,24,24,60,38,36,0,56,58,66,32,64,0,32,60,0,48,36,20,0,76,24,44,44,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,44,76,46,40,0,24,48,0,0,0,30,116,116,116,116,32,32,26,74,60,44,34,34,34,92,44,68,72,24,38,36,0,0,60,58,72,72,72,72,58,58,28,30,30,34,34,34,32,64,64,64,0,0,30,30,30,32,98,98,98,0,98,34,20,20,24,38,40,0,30,30,0,0,24,24,60,38,30,0,56,58,64,62,64,0,36,60,26,48,36,20,26,76,24,44,44,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,44,76,46,40,0,24,48,0,0,0,30,116,118,116,116,32,32,26,62,60,44,34,34,34,92,44,68,72,24,38,36,0,0,60,60,72,70,70,70,60,60,30,30,30,32,32,34,34,64,64,64,0,0,0,0,0,0,98,98,98,0,98,20,20,20,24,38,40,0,30,30,0,0,24,24,60,38,38,0,56,58,56,56,56,0,36,60,24,48,36,20,26,76,24,44,44,24,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,44,76,46,40,0,24,48,0,0,0,30,116,116,116,116,32,32,0,72,60,44,34,34,34,92,44,68,74,24,38,36,0,0,60,60,72,72,72,72,60,60,0,0,0,34,34,34,34,64,64,64,0,0,0,0,0,0,96,96,96,0,96,20,20,20,24,38,40,0,0,0,0,0,24,24,60,38,38,0,56,58,60,62,56,0,36,60,0,48,36,20,0,76,24,44,44,24,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,76,46,40,0,24,48,0,0,0,0,116,116,116,116,0,32,0,70,56,44,0,34,0,88,44,68,76,24,30,36,24,0,60,60,72,72,74,72,60,60,30,30,30,34,34,36,34,64,64,64,0,0,28,30,30,30,96,96,96,24,96,20,20,20,24,38,40,0,30,28,28,30,24,24,60,38,38,0,56,58,60,60,60,0,36,60,26,44,36,20,26,76,24,44,44,24,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,76,46,40,0,24,48,0,0,0,0,116,116,116,116,0,32,0,76,56,44,0,34,0,88,32,68,76,30,40,36,0,0,60,60,58,74,72,68,60,60,0,0,0,38,36,34,36,64,64,64,0,0,0,0,0,0,96,96,96,24,96,20,20,20,24,38,40,0,0,0,0,0,24,24,60,0,38,0,56,58,60,58,62,0,34,60,0,44,36,20,0,76,24,44,44,24,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,76,46,40,0,24,48,0,0,0,0,116,116,116,116,0,32,0,70,56,34,0,34,0,88,32,58,76,30,40,36,0,0,60,60,72,72,72,72,60,60,0,0,0,36,36,36,34,64,64,64,0,0,28,26,28,28,96,96,98,22,98,20,20,20,24,38,40,0,0,0,30,30,24,24,60,0,38,0,56,58,60,60,60,0,36,60,0,44,36,20,0,76,24,44,44,24,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,72,46,40,0,24,48,0,0,0,0,116,118,116,116,0,32,0,70,56,42,0,34,0,88,32,62,86,30,40,36,0,24,60,58,72,72,72,72,60,60,0,0,0,34,36,34,34,64,64,64,0,0,28,28,28,28,96,98,98,24,98,20,20,20,24,38,40,0,0,0,30,30,24,24,60,0,38,0,56,58,62,62,62,0,36,60,0,48,36,20,0,76,24,44,44,24,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,0,0,68,46,40,0,24,48,0,0,0,0,116,116,116,116,0,32,0,72,56,32,0,34,0,88,32,64,70,30,40,36,0,0,60,60,72,72,72,72,60,60,30,28,26,36,34,36,36,64,62,64,0,0,0,0,0,0,0,0,0,24,96,20,20,20,24,38,40,0,0,0,30,28,24,24,60,0,38,0,56,58,62,62,62,0,36,60,24,44,0,20,24,74,24,44,44,24,24,26,24,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,86,0,0,82,46,40,0,24,48,0,0,0,0,116,116,116,116,0,32,0,72,56,32,0,34,0,88,32,64,78,30,40,36,0,0,60,60,70,72,72,72,60,60,28,28,32,36,36,34,36,62,62,62,0,0,30,26,28,0,0,0,0,0,98,20,20,20,24,38,40,0,30,30,28,30,24,24,60,0,38,0,56,58,62,62,62,0,28,60,24,46,0,20,24,76,24,44,46,24,24,26,24,76,28,26,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,0,0,82,46,40,0,24,48,0,0,0,0,116,112,116,116,0,32,0,72,56,32,0,34,0,92,32,64,74,30,40,36,0,0,60,60,72,72,72,72,60,60,28,30,28,34,36,36,36,62,62,62,0,0,0,0,0,0,0,0,0,0,98,20,20,20,24,38,40,0,0,0,28,30,24,24,60,0,38,0,56,58,62,62,62,0,28,60,0,46,0,20,0,76,24,44,46,24,24,26,24,76,42,26,86,86,32,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,30,0,82,46,40,0,24,48,0,0,0,0,116,118,116,116,0,32,0,72,56,32,0,36,0,92,32,64,76,30,40,36,0,0,60,58,74,72,72,72,60,60,0,0,0,36,36,34,34,62,64,62,0,0,28,28,0,0,0,0,0,0,98,20,20,20,24,38,40,0,30,30,30,30,24,24,60,0,38,0,54,54,62,62,62,0,28,60,26,46,0,20,26,76,24,44,46,24,24,26,24,76,42,26,86,86,32,34,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,30,44,82,46,40,0,24,48,0,0,0,0,116,116,116,116,0,32,0,72,54,36,0,36,0,92,32,64,78,30,40,36,0,0,58,58,68,68,68,68,58,58,30,30,28,34,36,36,36,62,62,62,0,0,0,0,0,0,0,0,0,0,98,20,20,20,24,38,40,0,30,30,30,28,24,24,60,0,38,0,54,52,62,62,62,0,34,60,26,46,0,20,26,76,24,44,46,24,24,26,24,76,42,26,86,86,30,34,34,50,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,30,44,82,46,40,0,24,52,54,54,54,0,116,116,116,116,0,32,0,40,58,36,0,36,0,90,32,64,78,30,40,36,0,0,60,60,74,70,72,70,64,60,0,0,0,36,36,36,36,62,62,62,28,0,0,0,0,0,0,0,0,0,98,20,20,20,24,38,40,0,30,30,30,28,24,24,60,0,38,24,54,54,62,62,62,0,34,60,26,46,0,20,28,76,24,44,46,24,24,26,24,76,42,26,86,86,30,34,34,50,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,30,44,80,46,0,0,24,52,54,54,54,0,116,116,116,116,0,22,0,64,58,42,0,36,0,94,32,64,74,30,40,36,0,0,60,60,70,68,70,70,60,60,0,0,0,36,36,36,36,62,62,62,0,0,30,0,0,0,0,0,0,0,98,20,20,20,24,0,0,0,28,28,28,28,24,24,60,0,38,0,54,54,62,62,62,0,34,60,26,46,0,20,26,76,24,44,46,24,24,26,24,76,42,26,86,86,30,34,34,50,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,82,30,44,66,46,0,0,24,50,54,54,54,0,116,118,116,116,0,22,0,64,58,42,0,36,0,92,32,64,76,30,40,0,0,0,60,60,70,70,70,68,60,60,30,30,34,36,36,38,36,60,60,62,0,0,0,28,30,0,0,0,0,0,98,20,0,0,0,0,0,0,28,28,30,28,24,24,60,0,38,0,52,54,62,62,62,0,34,60,24,46,0,20,26,76,24,44,46,0,0,26,24,76,42,26,86,86,30,34,34,50,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,30,44,66,46,0,0,0,50,54,54,54,0,116,116,116,116,0,22,0,64,58,42,0,36,0,88,32,64,64,30,40,0,0,0,60,60,70,70,70,66,60,60,32,30,32,36,36,36,36,62,62,62,24,26,28,28,28,30,0,0,0,0,98,20,0,0,0,0,0,22,28,28,28,30,24,24,60,0,38,24,52,54,62,62,62,0,34,60,24,46,0,20,28,76,0,44,46,0,0,26,24,76,42,26,86,86,30,34,34,50,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
